	Drug_id	Name	Indications-DrugBank
0	DB00001	Lepirudin	
1	DB00002	Cetuximab	Metastatic Colorectal Cancers/Metastatic Squamous Cell Carcinoma of the Head and Neck/Advanced squamous cell carcinoma of the head and neck
2	DB00003	Dornase alfa	Cystic Fibrosis (CF)
3	DB00004	Denileukin diftitox	Cutaneous T-Cell Lymphoma (CTCL)
4	DB00005	Etanercept	Ankylosing Spondylitis (AS)/Graft Versus Host Disease (GVHD)/Hidradenitis Suppurativa (HS)/Polyarticular Juvenile Idiopathic Arthritis/Psoriasis Vulgaris (Plaque Psoriasis)/Psoriatic Arthritis/Pyoderma Gangrenosum/Rheumatoid Arthritis/Severe, active Rheumatoid arthritis
5	DB00006	Bivalirudin	Acute Coronary Syndromes (ACS)/Thrombotic events
6	DB00007	Leuprolide	Advanced Prostate Cancer/Breast Cancer/Central Precocious Puberty (CPP)/Endometriosis/Infertilities/Pain/Paraphilia/Uterine Leiomyomas/Symptom recurrence
7	DB00008	Peginterferon alfa-2a	Hepatitis B Chronic Infection/Compensated liver disease
8	DB00009	Alteplase	Acute Ischemic Stroke (AIS)/Acute Myocardial Infarction (AMI)/Acute massive pulmonary embolism/Central venous access device thrombosis
9	DB00010	Sermorelin	
10	DB00011	Interferon alfa-n1	
11	DB00012	Darbepoetin alfa	Anemias
12	DB00013	Urokinase	
13	DB00014	Goserelin	Advanced Breast Cancer/Endometriosis/Stage I Breast Carcinoma/Advanced carcinoma of the prostate/Stage M1 hormone dependent carcinoma of the prostate/Stage T2b carcinoma of the prostate/Stage T2c carcinoma of the prostate/Stage T3 carcinoma of the prostate/Stage T4 carcinoma of the prostate/Endometrial thinning prior to endometrial ablation for dysfunctional uterine bleeding
14	DB00015	Reteplase	Acute Myocardial Infarction (AMI)/Cardiovascular Mortality/Congestive Heart Failure
15	DB00016	Erythropoietin	Anemia caused by Zidovudine/Anemias/Reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery
16	DB00017	Salmon Calcitonin	Hypercalcemia/Osteoporosis/Symptomatic Paget's disease
17	DB00018	Interferon alfa-n3	Refractory Condylomata acuminata of the external
18	DB00019	Pegfilgrastim	Chemotherapy Induced Neutropenia/Hematopoietic Subsyndrome of Acute Radiation Syndrome/Infection NOS
19	DB00020	Sargramostim	Bone Marrow Suppression/Delayed engraftment/Graft Failure/Neutropenia/Mobilization of hematopoietic progenitor cells into peripheral blood for collection by leukapheresis therapy
20	DB00022	Peginterferon alfa-2b	Chronic Hepatitis C Virus (HCV) Infection/Melanoma
21	DB00023	Asparaginase Escherichia coli	Acute Lymphoblastic Leukaemias (ALL)
22	DB00024	Thyrotropin alfa	Thyroid Cancers/Thyroid tissue remnants/Radioiodine ablation of thyroid tissue
23	DB00025	Antihemophilic factor, human recombinant	Bleeding/Hemophilia A/Postoperative Hemorrhages/Bleeding in invasive procedures/Perioperative procedures
24	DB00026	Anakinra	Juvenile Idiopathic Arthritis (JIA)/Neonatal-onset multisystemic inflammatory disease/Moderate Rheumatoid arthritis/Recurrent Pericarditis/Severe Rheumatoid arthritis
25	DB00027	Gramicidin D	Superficial Eye Infections
26	DB00028	Immune globulin human	B-Cell Chronic Lymphocytic Leukemia/Bruton's agammaglobulinemia/Chronic Idiopathic Thrombocytopenic Purpura/Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)/Common Variable Immunodeficiency/Congenital Immunodeficiency/Kawasaki Syndrome/Wiskott-Aldrich Syndrome (WAS)
27	DB00029	Anistreplase	
28	DB00030	Insulin human	Diabetes Mellitus (DM)
29	DB00031	Tenecteplase	ST Elevation Myocardial Infarction (STEMI)
30	DB00032	Menotropins	Assisted Reproductive Technology therapy
31	DB00033	Interferon gamma-1b	Chronic Granulomatous Disease (CGD)/Severe, malignant Osteopetrosis
32	DB00034	Interferon alfa-2a, Recombinant	
33	DB00035	Desmopressin	Bleeding/Central Diabetes Insipidus/Nocturia/Polydipsia/Polyuria/Primary Nocturnal Enuresis
34	DB00036	Coagulation factor VIIa Recombinant Human	Bleeding
35	DB00038	Oprelvekin	Thrombocytopenia
36	DB00039	Palifermin	Oral Mucositis
37	DB00040	Glucagon	Severe Hypoglycemia
38	DB00041	Aldesleukin	High Risk Neuroblastoma/Metastatic Melanoma/Metastatic Renal Cell Carcinoma
39	DB00042	Botulinum Toxin Type B	Cervical Dystonia/Sialorrhea
40	DB00043	Omalizumab	Chronic Idiopathic Urticaria/Moderate Asthma/Severe Asthma
41	DB00044	Lutropin alfa	Hypogonadism/Infertilities
42	DB00045	Lyme disease vaccine (recombinant OspA)	
43	DB00046	Insulin lispro	Diabetes Mellitus (DM)/Diabetic Ketoacidosis/Gestational Diabetes Mellitus (GDM)/Hyperglycemias
44	DB00047	Insulin glargine	Diabetes Mellitus (DM)/Hyperglycemias/Type 2 Diabetes Mellitus
