	Drug_id	Drug_name	Indication
0	DB00002	Cetuximab	Metastatic Colorectal Cancers
1	DB00002	Cetuximab	Metastatic Squamous Cell Carcinoma of the Head and Neck
2	DB00002	Cetuximab	Advanced squamous cell carcinoma of the head and neck
3	DB00003	Dornase alfa	Cystic Fibrosis (CF)
4	DB00004	Denileukin diftitox	Cutaneous T-Cell Lymphoma (CTCL)
5	DB00005	Etanercept	Ankylosing Spondylitis (AS)
6	DB00005	Etanercept	Graft Versus Host Disease (GVHD)
7	DB00005	Etanercept	Hidradenitis Suppurativa (HS)
8	DB00005	Etanercept	Polyarticular Juvenile Idiopathic Arthritis
9	DB00005	Etanercept	Psoriasis Vulgaris (Plaque Psoriasis)
10	DB00005	Etanercept	Psoriatic Arthritis
11	DB00005	Etanercept	Pyoderma Gangrenosum
12	DB00005	Etanercept	Rheumatoid Arthritis
13	DB00005	Etanercept	Severe, active Rheumatoid arthritis
14	DB00006	Bivalirudin	Acute Coronary Syndromes (ACS)
15	DB00006	Bivalirudin	Thrombotic events
16	DB00007	Leuprolide	Advanced Prostate Cancer
17	DB00007	Leuprolide	Breast Cancer
18	DB00007	Leuprolide	Central Precocious Puberty (CPP)
19	DB00007	Leuprolide	Endometriosis
20	DB00007	Leuprolide	Infertilities
21	DB00007	Leuprolide	Pain
22	DB00007	Leuprolide	Paraphilia
23	DB00007	Leuprolide	Uterine Leiomyomas
24	DB00007	Leuprolide	Symptom recurrence
25	DB00008	Peginterferon alfa-2a	Hepatitis B Chronic Infection
26	DB00008	Peginterferon alfa-2a	Compensated liver disease
27	DB00009	Alteplase	Acute Ischemic Stroke (AIS)
28	DB00009	Alteplase	Acute Myocardial Infarction (AMI)
29	DB00009	Alteplase	Acute massive pulmonary embolism
30	DB00009	Alteplase	Central venous access device thrombosis
31	DB00012	Darbepoetin alfa	Anemias
32	DB00014	Goserelin	Advanced Breast Cancer
33	DB00014	Goserelin	Endometriosis
34	DB00014	Goserelin	Stage I Breast Carcinoma
35	DB00014	Goserelin	Advanced carcinoma of the prostate
36	DB00014	Goserelin	Stage M1 hormone dependent carcinoma of the prostate
37	DB00014	Goserelin	Stage T2b carcinoma of the prostate
38	DB00014	Goserelin	Stage T2c carcinoma of the prostate
39	DB00014	Goserelin	Stage T3 carcinoma of the prostate
40	DB00014	Goserelin	Stage T4 carcinoma of the prostate
41	DB00014	Goserelin	Endometrial thinning prior to endometrial ablation for dysfunctional uterine bleeding
42	DB00015	Reteplase	Acute Myocardial Infarction (AMI)
43	DB00015	Reteplase	Cardiovascular Mortality
44	DB00015	Reteplase	Congestive Heart Failure
45	DB00016	Erythropoietin	Anemia caused by Zidovudine
46	DB00016	Erythropoietin	Anemias
47	DB00016	Erythropoietin	Reduction of allogeneic RBC transfusions in patients undergoing elective, noncardiac, nonvascular surgery
48	DB00017	Salmon Calcitonin	Hypercalcemia
49	DB00017	Salmon Calcitonin	Osteoporosis
50	DB00017	Salmon Calcitonin	Symptomatic Paget's disease
51	DB00018	Interferon alfa-n3	Refractory Condylomata acuminata of the external
52	DB00019	Pegfilgrastim	Chemotherapy Induced Neutropenia
53	DB00019	Pegfilgrastim	Hematopoietic Subsyndrome of Acute Radiation Syndrome
54	DB00019	Pegfilgrastim	Infection NOS
55	DB00020	Sargramostim	Bone Marrow Suppression
56	DB00020	Sargramostim	Delayed engraftment
57	DB00020	Sargramostim	Graft Failure
58	DB00020	Sargramostim	Neutropenia
59	DB00020	Sargramostim	Mobilization of hematopoietic progenitor cells into peripheral blood for collection by leukapheresis therapy
60	DB00022	Peginterferon alfa-2b	Chronic Hepatitis C Virus (HCV) Infection
61	DB00022	Peginterferon alfa-2b	Melanoma
62	DB00023	Asparaginase Escherichia coli	Acute Lymphoblastic Leukaemias (ALL)
63	DB00024	Thyrotropin alfa	Thyroid Cancers
64	DB00024	Thyrotropin alfa	Thyroid tissue remnants
65	DB00024	Thyrotropin alfa	Radioiodine ablation of thyroid tissue
66	DB00025	Antihemophilic factor, human recombinant	Bleeding
67	DB00025	Antihemophilic factor, human recombinant	Hemophilia A
68	DB00025	Antihemophilic factor, human recombinant	Postoperative Hemorrhages
69	DB00025	Antihemophilic factor, human recombinant	Bleeding in invasive procedures
70	DB00025	Antihemophilic factor, human recombinant	Perioperative procedures
71	DB00026	Anakinra	Juvenile Idiopathic Arthritis (JIA)
72	DB00026	Anakinra	Neonatal-onset multisystemic inflammatory disease
73	DB00026	Anakinra	Moderate Rheumatoid arthritis
74	DB00026	Anakinra	Recurrent Pericarditis
75	DB00026	Anakinra	Severe Rheumatoid arthritis
76	DB00027	Gramicidin D	Superficial Eye Infections
77	DB00028	Immune globulin human	B-Cell Chronic Lymphocytic Leukemia
78	DB00028	Immune globulin human	Bruton's agammaglobulinemia
79	DB00028	Immune globulin human	Chronic Idiopathic Thrombocytopenic Purpura
80	DB00028	Immune globulin human	Chronic Inflammatory Demyelinating Polyneuropathy (CIDP)
81	DB00028	Immune globulin human	Common Variable Immunodeficiency
82	DB00028	Immune globulin human	Congenital Immunodeficiency
83	DB00028	Immune globulin human	Kawasaki Syndrome
84	DB00028	Immune globulin human	Wiskott-Aldrich Syndrome (WAS)
85	DB00030	Insulin human	Diabetes Mellitus (DM)
86	DB00031	Tenecteplase	ST Elevation Myocardial Infarction (STEMI)
87	DB00032	Menotropins	Assisted Reproductive Technology therapy
88	DB00033	Interferon gamma-1b	Chronic Granulomatous Disease (CGD)
89	DB00033	Interferon gamma-1b	Severe, malignant Osteopetrosis
90	DB00035	Desmopressin	Bleeding
91	DB00035	Desmopressin	Central Diabetes Insipidus
92	DB00035	Desmopressin	Nocturia
93	DB00035	Desmopressin	Polydipsia
94	DB00035	Desmopressin	Polyuria
95	DB00035	Desmopressin	Primary Nocturnal Enuresis
96	DB00036	Coagulation factor VIIa Recombinant Human	Bleeding
97	DB00038	Oprelvekin	Thrombocytopenia
98	DB00039	Palifermin	Oral Mucositis
99	DB00040	Glucagon	Severe Hypoglycemia
100	DB00041	Aldesleukin	High Risk Neuroblastoma
101	DB00041	Aldesleukin	Metastatic Melanoma
102	DB00041	Aldesleukin	Metastatic Renal Cell Carcinoma
103	DB00042	Botulinum Toxin Type B	Cervical Dystonia
104	DB00042	Botulinum Toxin Type B	Sialorrhea
105	DB00043	Omalizumab	Chronic Idiopathic Urticaria
106	DB00043	Omalizumab	Moderate Asthma
107	DB00043	Omalizumab	Severe Asthma
108	DB00044	Lutropin alfa	Hypogonadism
109	DB00044	Lutropin alfa	Infertilities
110	DB00046	Insulin lispro	Diabetes Mellitus (DM)
111	DB00046	Insulin lispro	Diabetic Ketoacidosis
112	DB00046	Insulin lispro	Gestational Diabetes Mellitus (GDM)
113	DB00046	Insulin lispro	Hyperglycemias
114	DB00047	Insulin glargine	Diabetes Mellitus (DM)
115	DB00047	Insulin glargine	Hyperglycemias
116	DB00047	Insulin glargine	Type 2 Diabetes Mellitus
117	DB00048	Collagenase clostridium histolyticum	Dupuytren’s Contracture
118	DB00048	Collagenase clostridium histolyticum	Peyronie's Disease
119	DB00048	Collagenase clostridium histolyticum	Necrotic tissue
120	DB00049	Rasburicase	Hyperuricemia
121	DB00050	Cetrorelix	Controlled Ovarian Stimulation
122	DB00051	Adalimumab	Crohn's Disease (CD)
123	DB00051	Adalimumab	Non-infectious Intermediate, Posterior and Panuveitis
124	DB00051	Adalimumab	Pediatric Crohn's Disease
125	DB00051	Adalimumab	Psoriatic arthritis aggravated
126	DB00051	Adalimumab	Pyoderma Gangrenosum
127	DB00051	Adalimumab	Severe Plaque psoriasis
